icao_code,iata_code,name,city,country_code
PPIT,NUP,Nunapitchuk Airport,Nunapitchuk,US
PAKA,TEK,Tatitlek Airport,Tatitlek,US
PACH,CHU,Chuathbaluk Airport,Chuathbaluk,US
HCAD,AAD,Adado Airport,Adado,SO
OEBT,,Batha Airport,Batha,SA
OMQF,,Al Qaffay Airport,Al Qaffay,AE
OMAY,,Lower Yasat Island Airport,Al-Yasat,AE
OMLW,,Liwa Air Base,Zayed City,AE
OMNK,,Sas Al Nakheel Air Base,Sas Al Nakheel,AE
OAAK,,Andkhoy Airport,Andkhoy,AF
OALG,,Logar Airport,Logar Airport,AF
OAMK,,Muqur Airport,Muqur,AF
OAPJ,,Panjab Airport,Panjab,AF
OATW,,Taywarah Airport,Taywarah,AF
TAPB,BBQ,Burton-Nibbs International Airport,Codrington,AG
AGAF,AFT,Afutara Aerodrome,Bila,SB
AGAR,RNA,Ulawa Airport,Arona,SB
AGAT,ATD,Uru Harbour Airport,Atoifi,SB
AGBA,VEV,Barakoma Airport,Barakoma,SB
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB
AGEV,GEF,Geva Airport,Liangia,SB
AGGA,AKS,Gwaunaru'u Airport,Auki,SB
AGGB,BNY,Bellona/Anua Airport,Anua,SB
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,SB
AGGE,BAS,Ballalae Airport,Ballalae,SB
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB
AGGH,HIR,Honiara International Airport,Honiara,SB
AGGI,MBU,Babanakira Airport,Mbambanakira,SB
AGGJ,AVU,Avu Avu Airport,Avu Avu,SB
AGGK,IRA,Ngorangora Airport,Kirakira,SB
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB
AGGM,MUA,Munda Airport,Munda,SB
AGGN,GZO,Nusatupe Airport,Gizo,SB
AGGO,MNY,Mono Airport,Stirling Island,SB
AGGP,PRS,Parasi Airport,Parasi,SB
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,SB
AGGS,EGM,Sege Airport,Sege,SB
AGGT,NNB,Santa Ana Airport,Santa Ana Island,SB
AGGU,RUS,Marau Airport,Marau,SB
AGGV,VAO,Suavanao Airport,Suavanao,SB
AGGY,XYA,Yandina Airport,Yandina,SB
AGKG,KGE,Kaghau Airport,Kagau Island,SB
AGKU,KUE,Kukudu Airport,Kolombangara Island,SB
AGKW,KWS,Kwailabesi Airport,Kwailabesi,SB
AGLM,LLM,Lomlom Airport,Lomlom,SB
AGNA,NAZ,Nana Airport,Star Harbor,SB
AGOB,MHM,Manaoba Airport,Manaoba,SB
AGOK,GTA,Gatokae Aerodrome,Gatokae,SB
AGRC,RIN,Ringi Cove Airport,Ringi Cove,SB
AGRM,RBV,Ramata Airport,Ramata,SB
UDCK,YUK,Syunik Airport,Kapan,AM
FMMB,AMY,Ambatomainty Airport,Ambatomainty Airport,MG
ANYN,INU,Nauru International Airport,Yaren,NR
FNLM,,Lumbala Airstrip,Lumbala,AO
FNNL,,Huambo Airport,Huambo,AO
SACT,,Chamical Airport,Gobernador Gordillo,AR
YLTT,LYT,Lady Elliot Island Airstrip,Lady Elliot Island,AU
YFGS,,Frogs Hollow Airfield,Tathra,AU
YSKR,,Skardon River Airport,Mapoon,AU
YGRM,GYZ,Gruyere Airport,Cosmo Newbery,AU
YPAS,,Packsaddle Airport,Packsaddle,AU
YSWS,WSI,Western Sydney International (Nancy-Bird Walton) Airport,Sydney,AU
YMRO,,Moora Airport,Moora,AU
YCRN,,Cranbourn Airfield,Mount Direction,AU
YOKH,,Oakden Hills Airport,Oakden Hills,AU
YWIR,,Wirraminna Airport,Wirraminna,AU
YJBO,,JDandBoo,Boisdale,AU
YWSN,,Woodstock Station,Woodstock Station,AU
YNKR,,Nackeroo Airfield,Nackeroo Airfield,AU
YFBR,,Fairey Bower Airfield,Coonamble,AU
YKBS,KBD,Kimberley Downs Airport,Kimberley Downs,AU
ZBAL,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN
AYAA,AMF,Ama Airport,Ama Airport,PG
AYAE,UAE,Mount Aue Airport,Aue,PG
AYAF,AFR,Afore Airstrip,Afore,PG
AYAG,AUP,Agaun Airport,Agaun,PG
AYAI,ATP,Aitape Airport,Aitape,PG
AYAK,AIH,Aiambak Airport,Aiambak,PG
AYAM,AMU,Amanab Airport,Amanab,PG
AYAN,ADC,Andakombe Airport,Andekombe,PG
AYAO,AIE,Aiome Airport,Aiome,PG
AYAQ,KPM,Kompiam Airport,Kompiam Airport,PG
AYAT,AUJ,Ambunti Airport,Ambunti,PG
AYAU,,Arou Airstrip,Arou,PG
AYAW,AWB,Awaba Airport,Awaba,PG
AYAX,AEK,Aseki Airport,Aseki,PG
AYAY,AYU,Aiyura Airport,Aiyura Valley,PG
AYBA,VMU,Baimuru Airport,Baimuru,PG
AYBC,BCP,Bambu Airport,Bambu,PG
AYBD,BNM,Bodinumu Airport,Bodinumu,PG
AYBF,BMZ,Bamu Airport,Bamu,PG
AYBG,BDZ,Baindoung Airport,Baindoung Airport,PG
AYBH,BSP,Bensbach Airport,Bensbach,PG
AYBI,BWP,Bewani Airport,Bewani,PG
AYBK,BUA,Buka Airport,Buka Island,PG
AYBL,BAA,Bialla Airport,"Bialla, Matalilu, Ewase",PG
AYBM,OPU,Balimo Airport,Balimo,PG
AYBO,BMH,Bomai Airport,Bomai,PG
AYBP,BPD,Bapi Airstrip,Bapi,PG
AYBQ,BPK,Biangabip Airport,Biangabip,PG
AYBR,BRP,Biaru Airport,Biaru,PG
AYBS,,Begesin Airstrip,Begesin,PG
AYBT,,Batri Airstrip,Batri,PG
AYBU,BUL,Bulolo Airport,Bulolo,PG
AYBY,,Wuyabo Airstrip,Wuyabo,PG
AYBZ,XBN,Biniguni Airport,Biniguni,PG
AYCB,CVB,Chungribu Airport,Chungribu,PG
AYCG,CGC,Cape Gloucester Airport,Cape Gloucester,PG
AYCH,CMU,Chimbu Airport,Kundiawa,PG
AYCN,,Changriwa Airstrip,Changriwa,PG
AYCS,SQT,China Strait Airstrip,Samarai Island,PG
AYDB,DBP,Debepare Airport,Debepare,PG
AYDD,,Dobu Airstrip,Dobu,PG
AYDE,DER,Derim Airport,Derim,PG
AYDI,BNT,Bundi Airport,Bundi,PG
AYDK,MDM,Munduku Airport,Munduku,PG
AYDL,KPF,Kondobol Airport,Kondobol,PG
AYDN,DNU,Dinangat Airport,Dinangat,PG
AYDO,DOI,Doini Airport,Castori Islets,PG
